Feature,Importance
Contract,0.36342952
OnlineSecurity,0.123008855
TechSupport,0.07905569
InternetService,0.075151205
tenure,0.036056783
StreamingMovies,0.030718502
PaperlessBilling,0.027599212
MultipleLines,0.026963469
MonthlyCharges,0.026870983
StreamingTV,0.02639529
OnlineBackup,0.02427131
TotalCharges,0.023819396
PaymentMethod,0.023089146
PhoneService,0.02295748
DeviceProtection,0.02020028
SeniorCitizen,0.019514497
Dependents,0.017791959
gender,0.017294569
Partner,0.015811827
